id,text
1,오늘 서울의 주요 도로는 공사로 인해 혼잡합니다.
2,출근 시간대에는 지하철 2호선이 매우 붐빕니다.
3,내일은 강남역에서 교통사고가 발생할 확률이 높습니다.
4,오후 5시 이후로는 고속도로 이용이 원활하지 않을 수 있습니다.
5,이번 주말에는 시내 버스 운행 시간이 변경됩니다.
6,새로 개통된 자전거 도로가 시민들에게 큰 호응을 받고 있습니다.
7,오늘 밤에는 대기 오염 수준이 높아져 교통량이 줄어들 것입니다.
8,공항으로 향하는 고속도로에 일시적인 정체가 예상됩니다.
9,지하철 1호선에서 신호 문제로 인해 몇몇 열차가 지연되고 있습니다.
10,내일 아침에는 비가 올 것으로 예상되어 운전 시 주의가 필요합니다.
11,이번 달 서울의 도로 공사로 인해 우회 경로가 안내되고 있습니다.
12,어제 부산의 버스 노선 변경으로 인해 혼잡이 발생했습니다.
13,오늘 대구의 고속도로는 교통 체증으로 인해 운행에 지장이 있습니다.
14,내일 인천의 택시 서비스가 일시적으로 중단됩니다.
15,이번 주 광주의 전철은 대기 오염으로 인해 지연되고 있습니다.
16,오늘 울산의 시내버스는 도로 공사로 인해 운행이 변경되었습니다.
17,이번 년도 경기도의 자전거 도로 확장 계획이 발표되었습니다.
18,어제 강원도의 고속도로에서 교통 사고가 발생했습니다.
19,오늘 충청도의 지하철은 비로 인해 지연되고 있습니다.
20,내일 서울의 도로는 기상 악화로 인해 혼잡할 것입니다.
21,이번 주말 부산의 버스는 대기 오염으로 인해 운행이 중단됩니다.
22,어제 대구의 지하철은 신호 문제로 인해 운행에 지장이 있었습니다.
23,오늘 인천의 고속도로는 교통 체증으로 인해 정체가 발생했습니다.
24,이번 달 광주의 버스 노선이 변경되어 운행에 혼잡이 예상됩니다.
25,내일 울산의 택시는 도로 공사로 인해 우회 경로를 이용해야 합니다.
26,오늘 경기도의 자전거 도로는 교통 사고로 인해 일시적으로 폐쇄되었습니다.
27,이번 년도 충청도의 시내버스는 기상 악화로 인해 교통량이 크게 줄어들었습니다.
28,어제 서울의 지하철 2호선은 대기 오염으로 인해 지연되었습니다.
29,오늘 부산의 고속도로는 비로 인해 운행에 혼잡이 발생했습니다.
30,내일 대구의 버스는 도로 공사로 인해 운행 시간이 변경됩니다.
31,이번 주 인천의 택시는 교통 체증으로 인해 지연될 수 있습니다.
32,어제 광주의 전철은 교통 사고로 인해 운행에 지장이 있었습니다.
33,오늘 울산의 시내버스는 기상 악화로 인해 운행이 제한됩니다.
34,이번 달 경기도의 고속도로는 대기 오염으로 인해 정체가 예상됩니다.
35,내일 충청도의 지하철은 도로 공사로 인해 지연될 것입니다.
36,오늘 서울의 버스는 교통 체증으로 인해 운행이 지연됩니다.
37,이번 년도 부산의 택시는 대기 오염으로 인해 운행이 제한됩니다.
38,어제 대구의 자전거 도로는 기상 악화로 인해 폐쇄되었습니다.
39,오늘 인천의 지하철은 교통 사고로 인해 지연되고 있습니다.
40,내일 광주의 버스 노선은 도로 공사로 인해 변경됩니다.
41,이번 주울산의 고속도로는 대기 오염으로 인해 혼잡할 것입니다.
42,어제 경기도의 시내버스는 교통 체증으로 인해 지연되었습니다.
43,오늘 충청도의 택시는 기상 악화로 인해 운행이 제한됩니다.
44,이번 달 서울의 지하철은 도로 공사로 인해 운행 시간이 변경됩니다.
45,내일 부산의 버스는 대기 오염으로 인해 혼잡이 예상됩니다.
46,어제 대구의 고속도로는 교통 사고로 인해 정체가 발생했습니다.
